RecipeItem/0/_ItemName,RecipeItem/1/_ItemName,RecipeItem/2/_ItemName,RecipeItem/3/_ItemName,RecipeItem/4/_ItemName,RecipeItem/5/_ItemName,RecipeItem/6/_ItemName,RecipeItem/7/_ItemName,RecipeItem/8/_ItemName,RecipeItem/9/_ItemName,RecipeItem/9/_itemQuantityText,memo/__cdata,_createDate,_description,_modifyDate,_nutrientRefNum,_primaryKey,_recordType,_useStaticIngrStmt,_userCode,_version,RecipeItem/10/_ItemName,RecipeItem/11/_ItemName,RecipeItem/12/_ItemName,RecipeItem/12/_itemQuantityText,RecipeItem/13/_ItemName,RecipeItem/14/_ItemName,RecipeItem/15/_ItemName,RecipeItem/15/_itemQuantityText,RecipeItem/16/_ItemName,RecipeItem/16/_itemQuantityText,RecipeItem/17/_ItemName,RecipeItem/18/_ItemName,RecipeItem/19/_ItemName,RecipeItem/20/_ItemName
STEP 3: On a lightly floured surface, roll pastry (1 recipe of pastry for double pie crust) out to 1/8 inch thickness. Cut into 6 inch rounds. Place approximately 1/2 cup filling on one half of each. Fold the pastry over the filling, and crimp edges to seal. Brush lightly with beaten egg white, and cut three slits in the top to allow steam to escape. Place on baking sheet.



STEP 4: Bake in preheated oven for 30 to 35 minutes, or until golden brown.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Diane



",7/20/05,"Dish, forfar bridies, Scottish",2/3/09,29086120,29086120,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

"Fresh Red Tomatoes Year Round Avg Lrg-3""","Fresh Cucumber Whole 8.25"" Long",Fresh Sweet Green Bell Peppers-Lrg,Fresh Garlic Cloves,Ripe Black Olives Sliced-Cnd,White Wine Vinegar HCG-HF,Olive Salad/Cooking Oil,Tomato Paste-6oz Can,Table Salt,Black Pepper,,"PREP TIME: 25 Min

COOK TIME: 3 Hr 25 Min

YIELDS: 4 to 6 Servings



NOTE: 6 Servings used for nutritional analysis.



METHOD: 



STEP 1: Score a cross in the base of each tomato. Cover with boiling water for 1 minute, plunge into cold water, drain and peel away the skin. Chop the flesh so finely that it is almost a puree.



STEP 2: Mix together the tomatoes, 1 of the chopped cucumbers, 1 of the chopped green peppers, crushed garlic, finely chopped olives, vinegar, oil and tomato paste, and season to taste with salt and pepper. Cover and refrigerate for 2 to 3 hours.



STEP 3: Use 2 to 3 cups of chilled water to thin the soup to your taste. Serve chilled with the chopped onion, remainder of the chopped green pepper and cucumber, green onions, and chopped boiled eggs, served separately for diners to add to their own bowls. 



NOTE: Herbs and croutons are also excellent served with this soup.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Michelle Chen",7/20/05,"Soup, gazpacho, Spanish",7/21/05,39304295,39304295,insert,FALSE,,2.2.0,Water,Fresh White Onions Small-Whole,Fresh Green Onions Bulb & Tops-Med,,Hard Boiled Eggs-Lrg,,,,,,,,,

Tomato Sauce-Cnd,Kielbasa Beef & Pork Sausage-Slc,Chili Sauce DLM,Onion Salt MCC,White Granulated Sugar,Black Pepper,,,,,,"PREP TIME: 10 Min

COOK TIME: 20 Min

YIELDS: 4 Servings



METHOD:



STEP 1: Preheat oven to Broil/Grill.



STEP 2: Pour tomato sauce (3 - 15oz cans) into a large saucepan, then stir in the chili sauce, onion salt, sugar and pepper. Let simmer over medium heat, occasionally stirring; bring to a gently boil and reduce heat to low. Simmer another 5 minutes.



STEP 3: Meanwhile, broil/grill kielbasa sausage for 3 to 4 minutes each side, or until cooked through. Slice into pieces 1/4 inch to 1/2 inch thick.



STEP 4: Pour tomato sauce mixture over sausage, then sprinkle all with paprika and curry powder and serve.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Jen Tune",7/20/05,"Dish, currywurst, German",3/7/06,831342564,831342564,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

White Onions Chopped Cooked-Drnd,Cured Bacon-Pan Fried,Cultured Sour Cream,Whole Eggs Raw-Lrg,Enrich All Purpose Bleached White Flour,Table Salt,Caraway Seeds,Single Pie Crust Prep f/Rec-Unbkd,,,,"PREP TIME: 1 Hr

COOK TIME: 1 Hr

YIELDS: 10 to 12 Servings



NOTE: 12 Servings used for nutritional analysis.



METHOD:



STEP 1: Preheat oven to 425 degrees F (220 degrees C). Line a jelly-roll pan or large pizza pan with prepared dough (2 recipes for a 9 inch single crust pie), making sure dough extends up sides of pan.



STEP 2: Saute sliced onion in a skillet until translucent and pour cooked onion into a large mixing bowl. Place bacon in a large, deep skillet. Cook over medium high heat until evenly brown. Drain, chop and add to onion; mix well.



STEP 3: Stir in sour cream. Beat eggs enough to break up yolks, then mix in to pie mixture. Add flour to thicken mixture (onions will create a lot of water), then add salt. Mix well and pour mixture into prepared pan. Sprinkle top with caraway seed.



STEP 4: Bake in preheated oven for about 1 hour, or until onions start to turn golden brown on top.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Bill Whitford

",7/20/05,"Dish, zwiebelkuchen onion pie, German",8/29/05,672693482,672693482,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Pork Comp Loin & Shoulder Blade Lean-Ckd,Enrich All Purpose Bleached White Flour,Peanut Salad/Cooking Oil,Chicken Broth-rts Can,Municipal Tap Water,Tamari Soy Sauce,Sherry Cooking Wine BGF-RE,Fresh Green Onions Bulbs & Tops-Chpd,Fresh Garlic Cloves,White Granulated Sugar,,"YIELDS: 2 to 3 Servings



NOTE: 3 Servings used for nutritional analysis. 1 tablespoon peanut oil used for nutritional analysis as some wil be discarded.



METHOD:



STEP 1: Place cubed pork and flour together in a resealable plastic bag. Seal and shake. Meanwhile, heat 1 1/2 tablespoons oil in a large skillet or wok. When hot, add coated pork and brown quickly; remove with a slotted spoon and set aside. Pour off remaining oil.



STEP 2: In same skillet combine the chicken broth, water, soy sauce and sherry. Stir together and add the thinly sliced green onion, minced garlic, sugar, ginger, salt and pepper and reserved pork cubes. Bring all to a boil. Then lower heat, cover and let simmer 15 minutes or until pork is tender. Check occasionally to make sure sauce is not thickening too much. If needed, add more water.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Christine Johnson",7/20/05,"Pork, ginger, Asian",2/3/09,527271776,527271776,insert,FALSE,,2.2.0,Ground Ginger,Table Salt,Black Pepper,,,,,,,,,,,

Enrich Macaroni Noodles-Ckd,Beef Ground Hamburger 10%Fat-Pan Browned,White Onion Cooked Drained Whole-Med,Parmesan Cheese-Grated,Feta Cheese-Crumbled,Diced Tomatoes-Cnd DLM,Ground Cinnamon,Table Salt,Black Pepper,3.25% Whole Milk,,"PREP TIME: 30 Min

COOK TIME: 1 Hr

YIELDS: 12 Servings



NOTE: This is a wonderful change from traditional Italian lasagna. It is baked in a rich white sauce.



METHOD: 



STEP 1: Bring a large pot of lightly salted water to a boil. Add macaroni noodles, and cook until tender, about 8 minutes. Drain, and set aside.



STEP 2: Preheat the oven to 350 degrees F (175 degrees C). Cook 2 lb raw ground beef and chopped onion in a large skillet over medium-high heat until beef is evenly browned. Remove from heat, and drain grease. Stir in the tomatoes, feta cheese, Parmesan cheese, and cinnamon. Mix in pasta and transfer to a large baking dish.



STEP 3: In a saucepan over medium heat, mix together the milk and cornstarch until no lumps remain. Add butter, and bring to a boil. Boil for 1 minute, then remove from heat, and pour the sauce over the mixture in the baking dish. 



STEP 4: Bake for 1 hour in the preheated oven, until the top is golden brown. Let stand for 10 minutes before serving.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Shawnee1492",7/20/05,"Dish, lasagna, Greek",8/30/05,115760980,115760980,insert,FALSE,,2.2.0,Corn Starch,Salted Butter,,,,,,,,,,,,

Chicken Broil/Fry Whole w/Skin-Stwd,"Peeled Potato Ckd w/Salt Med-2.5"" to 3""",White Onion Cooked Drained Whole-Sml,Whole Carrots Cooked-Drnd,Water,Table Salt,French Bread-Med Slc,Dried English Walnuts-Ground,Fresh Garlic Cloves,Dried Ground Red Chili Pepper,,"PREP TIME: 30 Min

COOK TIME: 1 Hr

YIELDS: 10 Servings



NOTE: Can be served either as a main course, or a delicious appetizer.



METHOD:



STEP 1: In a large saucepan over medium heat, place chicken (cut into pieces), potato, onion and peeled carrot. Pour in water, and bring to a boil. Skim any foam from the surface, and season with 1 1/2 teaspoons salt. Reduce heat, and simmer for 1 hour, or until chicken and vegetables are tender. Strain and reserve broth. Discard vegetables. Allow chicken to cool, then remove skin and bones, and shred meat into very small pieces.



STEP 2: Remove crusts from two 1-inch thick slices stale French bread. Soften the bread in some of the chicken broth, then squeeze out. In a large bowl, combine bread, ground walnuts, crushed garlic, red pepper, and 1 teaspoon salt. Using your hands, mix well like you're mixing meatballs. Place mixture in cheesecloth, and squeeze oil that the ground walnuts produce into a small bowl; set aside. Place walnut mixture into large bowl. Slowly blend in 1 cup of reserved chicken broth until consistency is like thick soup.



STEP 3: Place shredded chicken in a porcelain or glass serving dish. Stir in 2 to 3 tablespoons of walnut mixture. Cover chicken with remaining walnut mixture so the chicken is not visible. Smooth surface with the back of a spoon. Pour reserved walnut oil over the top.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Nurdan",7/20/05,"Dish, chicken circassian, Turkish",7/20/05,308619600,308619600,insert,FALSE,,2.2.0,Table Salt,,,,,,,,,,,,,

Creamy Peanut Butter,Tomato Paste-6oz Can,Diced Tomatoes w/GrnPepper&Onion-Cnd DLM,Chicken Broth-rts Can CAM-HR,Canola Oil,Chicken Broil/Fry Breast w/oSkin-Rstd,White Onion Cooked Drained Whole-Med,Mushroom Pieces Cooked w/Salt-Drnd,Dried Ground Cayenne Pepper,,,"PREP TIME: 15 Min

COOK TIME: 30 Min

YIELDS: 10 Servings



NOTE: This is a spicy chicken stew served over rice. It can easily be doubled to feed a crowd. It also can be easily modified for vegans by substituting vegetable broth and adding vegetables instead of chicken. Any fresh or frozen veggies that you have on hand can be added.



METHOD:



STEP 1: Melt peanut butter in a large saucepan over medium heat. Stir in tomato paste, and blend with peanut butter until smooth. Mix in diced tomatoes with green chile peppers and chicken broth. Cook 15 minutes, stirring occasionally.



STEP 2: Heat oil in a medium skillet over medium heat. Saute cubed chicken and onions until chicken is no longer pink and juices run clear.



STEP 3: Mix chicken, onions, and mushrooms into the peanut butter mixture, and continue cooking, stirring occasionally, about 15 minutes. Season with cayenne pepper to taste.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Amanda

",7/21/05,"Stew, ground nut, African",8/30/05,5602800,5602800,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

"Lamb Shoulder Arm Choice 1/4"" Trim-Brsd",Ground Turmeric,Black Pepper,Ground Cinnamon,Ginger-Ground,Dried Ground Cayenne Pepper,Salted Butter,Diced Celery Cooked-Drnd,White Onion Cooked Drained Whole-Med,Red Onion Cooked Drained Whole-Med,,"PREP TIME: 15 Min

COOK TIME: 2 Hr 30 Min

YIELDS: 6 Servings



METHOD:



STEP 1: Place the cubed lamb, turmeric, black pepper, cinnamon, ginger, cayenne, butter and chopped celery, onions and cilantro into a large soup pot over a low heat. Stir frequently for 5 minutes. Pour tomatoes (reserve juice) into the mixture and let simmer for 15 minutes.



STEP 2: Pour reserved tomato juice, 7 cups water, and the green lentils into the pot. Bring mixture to a boil, then reduce the heat to simmer. Let soup simmer, covered, for 2 hours.



STEP 3: About 10 minutes before serving turn the heat to medium-high, place chickpeas/garbanzo beans (drained) and noodles into the soup, let cook about 10 minutes (until noodles are al dente). Stir in lemon and beaten eggs, let eggs cook 1 minute.



Season with salt, pepper, mint leaves and cinnamon to taste.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Usman",7/21/05,"Soup, harira, Moroccan",7/27/05,202688219,202688219,insert,FALSE,,2.2.0,Fresh Cilantro-Leaves,Diced Tomatoes-Cnd DLM,Water,,Mature Lentil Beans,Mature Garbanzo Beans-Cnd,Enrich Vermicelli Pasta-Dry APC-AB,,Whole Eggs Raw-Lrg,,Fresh Lemon Juice-Yield Per Fruit,,,

White Onion Cooked Drained Whole-Med,Fresh Garlic Cloves,Olive Salad/Cooking Oil,Crushed Tomatoes-Cnd,Tomato Paste-6oz Can,Municipal Tap Water,SaucyBlend Italian Herb Seasoning MCC-FM,Dried Basil Leaves,White Granulated Sugar,Red Wine,,"PREP TIME: 10 Min

COOK TIME: 4 Hrs

YIELDS: 6 Servings



METHOD:



STEP 1: In large saucepan over medium heat, saute the chopped onion and garlic in olive oil until soft. Stir in tomatoes, tomato paste, water, Italian seasoning, basil, sugar, wine and crushed red pepper. Reduce heat to low and simmer 3 hours, stirring occasionally. Serve.



NOTE: The longer you cook it the better it tastes.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Cathy",7/21/05,"Sauce, spaghetti, Italian",2/3/09,73014969,73014969,insert,FALSE,,2.2.0,Crushed Red Chili Pepper Flakes,,,,,,,,,,,,,

Mature Garbanzo Beans-Cnd,Tahini f/Rstd & Tstd Kernels,Fresh Lemon Juice,Fresh Lemon Peel,Fresh Garlic Cloves,Fresh Parsley-Chpd,Fresh Green Onions Bulbs & Tops-Chpd,Table Salt,Black Pepper,,,"PREP TIME: 10 Min

YIELDS: 24 Servings (3 Cups)



METHOD:



STEP 1: Place drained garbanzo beans, tahini, lemon juice, grated lemon zest (minced), garlic, parsley, and green onion in the bowl of a food processor. Blend until smooth, adding water if the mixture is too thick. Season to taste with salt and pepper.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Marie",7/27/05,"Dip, hummus, Greek",7/27/05,209496576,209496576,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Fresh Garlic Cloves,Fresh Green Onions Bulbs & Tops-Chpd,Fresh Ginger Root,Oil Roasted Spanish Peanuts-Salted,Lemon Juice-Btld/Cnd,Honey,Soy Sauce-f/Soy,Coriander Seed,Crushed Red Chili Pepper Flakes,Chicken Broth-rts Can CAM-HR,,"PREP TIME: 30 Min

COOK TIME: 10 Min

YIELDS: 4 Servings



NOTE: Chicken, beef, or lamb can also be used instead of pork.



METHOD:



STEP 1: In a food processor, process garlic, green onions,  chopped ginger, peanuts, lemon juice, honey, soy sauce, crushed coriander, and red pepper flakes. Puree until almost smooth. Pour in broth and melted butter, and mix again.



STEP 2: Cut pork tenderloin into 1 inch cubes. Place pork cubes in a large resealable plastic bag, and pour mixture over meat. Marinate in the refrigerator for 6 hours, or overnight.



STEP 3: Preheat grill for medium heat. Remove pork cubes from bag, and thread onto skewers. In a small saucepan, boil the marinade for 5 minutes. Reserve a small amount of the marinade for basting, and set the remainder aside to serve as a dipping sauce.



STEP 4: Lightly oil preheated grill. Grill for 10 to 15 minutes, or until well browned, turning and brushing frequently with cooked marinade. Serve with dipping sauce.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Debbie



",7/27/05,"Pork, satay, Indonesian",3/8/06,274727408,274727408,insert,FALSE,,2.2.0,Salted Butter,Pork Tenderloin Chop-Brld,,,,,,,,,,,,

Peeled Potato Diced-Ckd,Salted Butter,Whole Eggs Raw-Lrg,Dehyd Minced Onions,Table Salt,Paprika,3.25% Whole Milk,Cheddar Cheese-Shredded,,,,"PREP TIME: 5 Min

COOK TIME: 45 Min

YIELDS: 6 Servings



METHOD:



STEP 1: Preheat oven to 350 degrees F (175 degrees C). Butter a 1.5 quart baking dish.



STEP 2: In a medium bowl, combine the peeled and shredded potatoes, melted butter, beaten eggs, onion, salt and paprika. Mix well.



STEP 3: Place potato mixture into the prepared baking dish and pour milk over top. Bake in the preheated oven for 40 minutes. Sprinkle top with sharp chedder cheese, return to oven and bake until cheese melts and is slightly browned.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Sue",7/27/05,"Potato, casserole, Irish",7/29/05,125778366,125778366,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Extra Virgin Olive Oil NOI,WhiteOnion Cooked Drained Whole-Lrg,Fresh Garlic Cloves,Pork Shoulder Blade Boston Roast-Rstd,Medium White Wine,Water,Oregano-Ground,Dried Parsley,Ground Thyme,Dried Rosemary,,"PREP TIME: 45 Min

COOK TIME: 5 Hrs

YIELDS: 12 Servings



NOTE: This is a homemade spaghetti meat sauce passed down to 4 generations of Sicilians. Fresh tomatoes can be put in the place of the puree but not recommended, due to the high acidity of the fresh tomatoes.



METHOD:



STEP 1: Heat olive oil in a large stock pot over medium heat. Saute diced onions, and minced garlic until lightly browned. Place pork shoulder in pot, and pour in 1/2 cup white wine and 3 cups water. In a small bowl, combine oregano, parsley, thyme, rosemary, garlic powder, salt and pepper. Sprinkle 1/4 of spice mixture over pork. Cover, and cook for 30 minutes, turning occasionally. Add water periodically if needed.



STEP 2: Pour in tomato puree. Fill cans with water, and pour in (about 6 cups). Stir in remaining spice mixture and the sugar. When liquid starts to bubble, reduce heat to low, cover, and cook for 4 to 5 hours. Stir occasionally, and adjust seasonings to taste.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Carla R. Bure",7/27/05,"Sauce, Italian gravy w/pork",8/30/05,82199124,82199124,insert,FALSE,,2.2.0,Garlic Powder,Table Salt,Black Pepper,,Tomato Puree-Cnd,Water,White Granulated Sugar,,,,,,,

Olive Salad/Cooking Oil,White Onion Cooked Drained Whole-Med,Fresh Garlic Cloves,Celery Stalk Cooked-Drnd,Whole Carrots Cooked-Drnd,Dried Crumbled Bay Leaves,Fresh Parsley-Chpd,Chicken Broth-rts Can,Municipal Tap Water,Stewed Red Tomatoes-Cnd,,"PREP TIME: 30 Min

COOK TIME: 1 Hr 30 Min

YIELDS: 8 Servings



NOTE: You could add your own diced meat to this soup if you like. French bread can be substituted for Italian-style bread.



METHOD:



STEP 1: In a large saucepan, heat the olive oil over medium heat. Cook the chopped onion, minced garlic, chopped celery and carrot until onion is soft.



STEP 2: Stir in bay leaf, parsley, chicken stock, water, tomatoes, thyme, cabbage, diced potato, and cooked beans. Bring to a simmer and cook for about 40 minutes, or until beans are tender. Season with salt and pepper to taste.



STEP 3: Preheart oven to 350 degrees F (175 degrees C). In a 4 quart casserole dish, place 1/3 of the mixture over the bottom. Layer 3 of the stale pieces of bread over the top. Place another 1/3 of the soup mixture over the bread followed by remaining 3 slices of bread. Top with remaining 1/3 soup.



STEP 4: Sprinkle with Parmesan cheese and bake for 30-40 minutes, or until soup is bubbling and cheese is light golden.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Holly",7/27/05,"Soup, riboletta, Italian",2/3/09,893620273,893620273,insert,FALSE,,2.2.0,Ground Thyme,Red Cabbage Shredded Cooked-Drnd,"Peeled Potato Cooked-3"" to 4.25""",,Mature Small White Beans-Ckd,Italian Bread-Med Slice,Parmesan Cheese-Grated,,,,,,,

Beef Ground Hamburger 5% Fat-Pan Browned,Whole Eggs Raw-Lrg,Dry Bread Crumbs,Parmesan Cheese-Grated,Ground Basil,Onion Powder,Chicken Broth-rts Can CAM-HR,Fresh Escarole-Chopped,Enrich Orzo Pasta-Dry APC-AB,Fresh Carrots-Chpd,,"PREP TIME: 20 Min

COOK TIME: 30 Min

YIELDS: 4 Servings



NOTE: This soup was traditionally served at Italian weddings.



METHOD: 



STEP 1: In medium bowl, combine 1/2 lb raw meat, lightly beaten egg, bread crumbs, cheese, basil and onion powder; shape into 3/4 inch balls.



STEP 2: In large saucepan, heat broth to boiling; stir in thinly sliced escarole, 1 cup dry orzo pasta, chopped carrots and meatballs. Return to boil, then reduce heat to medium. Cook at slow boil for 10 minutes, or until pasta is al dente. Stir frequently to prevent sticking.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Star Pooley



",7/29/05,"Soup, wedding, Italian",8/4/05,49824768,49824768,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Peanut Salad/Cooking Oil,Cajun Seasoning MCC,"Smoked Pork Sausage Link-4"" x 1 1/8""",Chicken Broil/Fry Breast w/oSkin-Stwd,White Onion Cooked Drained Whole-Med,Sweet Green Bell Peppers Chpd Ckd-Drnd,Celery Stalk Cooked-Drnd,Fresh Garlic Cloves,Crushed Tomatoes-Cnd,Crushed Red Chili Pepper Flakes,,"PREP TIME: 20 Min

COOK TIME: 45 Min

YIELDS: 6 Servings



METHOD:



STEP 1: Cut chicken into 1 inch pieces. Heat 1 tablespoon of the peanut oil in a large heavy Dutch oven over medium heat. Season the sliced andouille sausage and chicken pieces with Cajun seasoning. Saute sausage until browned. Remove with slotted spoon, and set aside. Add the other tablespoon of peanut oil, and saute chicken pieces until lightly browned on all sides. Remove with slotted spoon, and set aside. 



STEP 2: In same pot, saute diced onion, one diced green pepper, diced celery and minced garlic until tender. Stir in crushed tomatoes, and season wtih red pepper, black pepper, salt, hot pepper sauce, Worcestershire sauce and 1 tsp file powder. Stir in chicken and sausage. Cook for 10 minutes, stirring occasionally.



STEP 3: Stir in the rice and chicken broth. Bring to a boil, reduce heat, and simmer for 20 to 25 minutes, or until liquid is absorbed.



NOTE: File powder is a seasoning made from the ground, dried leaves of the sassafras tree. It's an integral part of Creole cooking, and is used to thicken and flavor Gumbos and other Creole dishes.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Terri",7/29/05,"Dish, jambalaya, French",3/8/06,91592319,91592319,insert,FALSE,,2.2.0,Black Pepper,Table Salt,Hot/Pepper Sauce-rts,,Worcestershire Sauce,Long Grain White Rice-Dry DLM-SW,Chicken Broth-rts Can CAM-HR,,,,,,,

Whole Eggs Raw-Lrg,Enrich All Purpose Bleached White Flour,Table Salt,Canola Oil,Water,Canola Oil,White Onion Cooked Drained Whole-Med,Swiss Cheese-Shredded,Distilled Vinegar,Fresh Parsley-Chpd,,"PREP TIME: 45 Min

COOK TIME: 15 Min

YIELDS: 4 Servings



NOTE: Totally vegetarian. A salad (lettuce, cucumber or tomato) with a sour dressing adds a lot of flavor to this dish, so always serve a salad!



METHOD:



STEP 1: In a large bowl, combine eggs, flour, salt, 1 tablespoon oil, and 1/2 cup water. Mix until smooth, then let rest for 10 minutes. Meanwhile, heat 1/4 cup oil in a skillet over medium heat. Saute onion slices until golden brown; set aside. Preheat oven to 300 degrees F (150 degrees C).



STEP 2: Bring a large pot of lightly salted water to a boil. Place 1/3 of the dough into a spaetzle maker or coarse sieve or collander wtih holes about 4 millimeters in diameter. Let dough drop into boiling water. Boil until spaetzle rises to the top, then transfer to a 9 inch casserole dish with a slotted spoon. Cover with 1/3 of the cheese. Repeat layers with remaining spaetzle and cheese. Spoon fried onions over top.



STEP 3: Bake in preheated oven for 15 minutes, or until cheese is thoroughly melted. Before serving, sprinkle with 1 or 2 tablespoons vinegar, and sprinkle with chopped parsley.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Schokolinda

",7/29/05,"Dish, kaes-spaetzle, Bavarian",8/2/05,28782809,28782809,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Lamb Ground 20% Fat-Broiled,White Onion Cooked Drained Whole-Med,Fresh Garlic Cloves,Table Salt,Tomato Paste-6oz Can,Beef Broth/Bouillon-14oz rts Can,,,,,,"PREP TIME: 5 Min

COOK TIME: 20 Min

YIELDS: 4 Servings



NOTE: Serve over rice or noodles. Recipe may be modified by adding peas (mattar), potatoes, or any other vegetable you like. It can also be used as a samosa or pastry filling.



METHOD:



STEP 1: In a large heavy skillet over medium heat, cook ground lamb until evenly browned. While cooking, break apart with a wooden spoon until crumbled. Transfer cooked lamb to a bowl, and drain off all but 1 tablespoon fat. Saute finely chopped onion until soft and translucent, about 5 minutes. Stir in minced garlic and saute 1 minute. Stir in 2 tbsp garam masala and salt, and cook 1 minute. Return the browned lamb to the pan, and stir in tomato paste and beef broth. Reduce heat, and simmer for 10 to 15 minutes or until meat is fully cooked through, and liquid has evaporated.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by ajr",7/29/05,"Lamb, keema, Indian",3/8/06,51499116,51499116,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Enrich All Purpose Bleached White Flour,Double Acting SodAlumSulft Baking Powder,Table Salt,Whole Eggs Raw-Lrg,Water,Canola Oil,"Peeled Potato Cooked-3"" to 4.25""",Table Salt,Black Pepper,Salted Butter,,"YIELDS: 6 Servings



NOTE: Recipe can be modified for the number of people being served.



METHOD:



STEP 1: Combine 3 cups flour, baking powder, 1/4 teaspoon salt, beaten egg and warm water in a medium size mixing bowl. Mix well.



STEP 2: Knead the dough, adding flour until the dough is stiff and hard to work with, let the dough rest.



STEP 3: Roll dough into a 1/2 to 3/4 inch wide cylinder.



STEP 4: Bring a pot of salted water to boil. Using scissors cut dough in 1/2 to 3/4 inch pieces into the boiling water. Kneophla will sit on the bottom of the pot until almost done. When almost finished cooking the kneophla will rise to the surface. Once they have risen to the surface let them cook 2 minutes longer. Drain well.



STEP 5: Place oil in a large skillet and heat over medium-high heat. Add cubed potatoes and salt and pepper to taste. Fry until potatoes are cooked through and golden brown.



STEP 6: While potatoes are frying place 1 tablespoon butter in a non-stick skillet, heat over medium-high heat. Place kneophla in frying pan. Fry until kneophla are browned.



STEP 7: When both kneophla and potatoes are nicely browned combine them in one skillet. Add the drained, sauerkraut to the kneophla, potato mixture and heat through. Serve immediately.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Dee Herdebu",7/29/05,"Dish, kneophla, German",8/2/05,3462869,3462869,insert,FALSE,,2.2.0,Sauerkraut Canned-w/Liquid,,,,,,,,,,,,,

Cured Salt Pork Fat-Raw,White Onion Cooked Drained Whole-Med,"Peeled Potato Cooked-3"" to 4.25""",Whole Eggs Raw-Lrg,Enrich All Purpose Bleached White Flour,Olive Salad/Cooking Oil,Black Pepper,,,,,"PREP TIME: 25 Min

COOK TIME: 1 Hr 30 Min

YIELDS: 8 Servings



NOTE: Serve hot as a main dish with either sour cream or applesauce.



METHOD:



STEP 1: Preheat oven to 450 degrees F (230 degrees C). Oil a 12x15 inch pan with olive oil.



STEP 2: Place diced salt pork in a large, deep skillet over medium heat. Cook until evenly brown, stirring occasionally. Stir in 1 chopped onion, and continue cooking until onion is tender and lightly browned; set aside.



STEP 3: Meanwhile, in a large bowl, combine potatoes and remaining 3 chopped onions. Fill the bowl of a food processor with the mixture, and 1 egg. Process until smooth, then transfer to a large bowl. Repeat until all has been processed.

Season with pepper to taste. Stir in the salt pork mixture. Blend in flour gradually to absorb some moisture, but err on the side of less flour.



STEP 4: Bake in the preheated oven for 25 minutes. Reduce heat to 350 degrees F (175 degrees C), and continue baking for 1 hour, or until top is evenly browned.

",7/29/05,"Dish, kugeli, Lithuanian",8/30/05,206412069,206412069,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Chicken Broil/Fry Breast w/oSkin-Rstd,Medium White Wine,Soy Sauce-f/Soy,Sesame Salad/Cooking Oil,Corn Starch,Water,Distilled Vinegar,Brown Sugar-Packed,Fresh Green Onions Bulb & Tops-Med,Fresh Garlic Cloves,,"PREP TIME: 30 Min

COOK TIME: 30 Min

YIELDS: 4 Servings



